"data";"valor"
"01/01/1992";"28,50"
"01/02/1992";"29,94"
"01/03/1992";"22,48"
"01/04/1992";"19,35"
"01/05/1992";"19,88"
"01/06/1992";"19,46"
"01/07/1992";"24,11"
"01/08/1992";"26,60"
"01/09/1992";"21,26"
"01/10/1992";"21,46"
"01/11/1992";"17,31"
"01/12/1992";"24,51"
"01/01/1993";"32,93"
"01/02/1993";"29,24"
"01/03/1993";"24,51"
"01/04/1993";"29,15"
"01/05/1993";"29,48"
"01/06/1993";"30,16"
"01/07/1993";"35,26"
"01/08/1993";"35,30"
"01/09/1993";"36,14"
"01/10/1993";"34,63"
"01/11/1993";"35,47"
"01/12/1993";"36,16"
"01/01/1994";"37,74"
"01/02/1994";"42,49"
"01/03/1994";"41,27"
"01/04/1994";"42,14"
"01/05/1994";"45,22"
"01/06/1994";"42,41"
"01/07/1994";"4,64"
"01/08/1994";"-0,12"
"01/09/1994";"-0,16"
"01/10/1994";"-0,72"
"01/11/1994";"-0,79"
"01/12/1994";"0,04"
"01/01/1995";"-0,25"
"01/02/1995";"0,48"
"01/03/1995";"0,36"
"01/04/1995";"0,28"
"01/05/1995";"0,30"
"01/06/1995";"5,86"
"01/07/1995";"5,55"
"01/08/1995";"1,29"
"01/09/1995";"1,42"
"01/10/1995";"3,18"
"01/11/1995";"2,46"
"01/12/1995";"4,40"
"01/01/1996";"0,60"
"01/02/1996";"4,23"
"01/03/1996";"0,25"
"01/04/1996";"3,87"
"01/05/1996";"0,44"
"01/06/1996";"3,02"
"01/07/1996";"2,58"
"01/08/1996";"1,25"
"01/09/1996";"0,24"
"01/10/1996";"0,19"
"01/11/1996";"0,53"
"01/12/1996";"1,49"
"01/01/1997";"3,01"
"01/02/1997";"0,26"
"01/03/1997";"0,62"
"01/04/1997";"4,27"
"01/05/1997";"1,66"
"01/06/1997";"2,97"
"01/07/1997";"0,97"
"01/08/1997";"0,59"
"01/09/1997";"0,30"
"01/10/1997";"0,05"
"01/11/1997";"1,06"
"01/12/1997";"1,28"
"01/01/1998";"0,86"
"01/02/1998";"0,65"
"01/03/1998";"0,11"
"01/04/1998";"0,39"
"01/05/1998";"0,20"
"01/06/1998";"-0,07"
"01/07/1998";"0,26"
"01/08/1998";"-0,80"
"01/09/1998";"-0,11"
"01/10/1998";"-0,15"
"01/11/1998";"-0,03"
"01/12/1998";"1,90"
"01/01/1999";"1,19"
"01/02/1999";"1,63"
"01/03/1999";"1,41"
"01/04/1999";"1,49"
"01/05/1999";"0,68"
"01/06/1999";"1,62"
"01/07/1999";"5,83"
"01/08/1999";"1,55"
"01/09/1999";"0,55"
"01/10/1999";"0,75"
"01/11/1999";"1,86"
"01/12/1999";"0,67"
"01/01/2000";"0,54"
"01/02/2000";"-0,15"
"01/03/2000";"1,22"
"01/04/2000";"0,05"
"01/05/2000";"0,26"
"01/06/2000";"0,19"
"01/07/2000";"4,23"
"01/08/2000";"2,63"
"01/09/2000";"-0,03"
"01/10/2000";"-0,03"
"01/11/2000";"1,07"
"01/12/2000";"2,32"
"01/01/2001";"0,84"
"01/02/2001";"0,58"
"01/03/2001";"0,02"
"01/04/2001";"-0,06"
"01/05/2001";"0,42"
"01/06/2001";"1,51"
"01/07/2001";"3,40"
"01/08/2001";"0,96"
"01/09/2001";"0,45"
"01/10/2001";"1,15"
"01/11/2001";"0,55"
"01/12/2001";"0,51"
"01/01/2002";"0,36"
"01/02/2002";"-0,38"
"01/03/2002";"1,21"
"01/04/2002";"2,16"
"01/05/2002";"0,30"
"01/06/2002";"1,14"
"01/07/2002";"2,56"
"01/08/2002";"0,15"
"01/09/2002";"-0,07"
"01/10/2002";"1,18"
"01/11/2002";"4,29"
"01/12/2002";"1,53"
"01/01/2003";"3,83"
"01/02/2003";"2,71"
"01/03/2003";"1,08"
"01/04/2003";"1,21"
"01/05/2003";"0,81"
"01/06/2003";"-1,02"
"01/07/2003";"0,73"
"01/08/2003";"0,86"
"01/09/2003";"1,44"
"01/10/2003";"0,07"
"01/11/2003";"0,36"
"01/12/2003";"0,47"
"01/01/2004";"0,84"
